LSOA code,Price_Change
E01000571,2.380952380952381
E01000572,-1.3333333333333335
E01000573,
E01000574,-5.909090909090909
E01000575,46.2962962962963
E01000576,-29.545454545454547
E01000577,7.06896551724138
E01000578,12.953367875647666
E01000579,93.33333333333333
E01000580,-39.84039287906691
E01000581,-42.302279763580074
E01000582,58.75183333333334
E01000583,12.500781298831177
E01000584,16.50485436893204
E01000585,-26.741071428571427
E01000586,-7.017543859649122
E01000587,
E01000588,-11.190233977619531
E01000589,20.406755913613626
E01000590,
E01000591,56.381486676016834
E01000592,
E01000593,
E01000594,-41.23314065510597
E01000595,
E01000596,
E01000599,
E01000600,29.993229519295873
E01000601,
E01000602,
E01000603,
E01000604,
E01000605,
E01000606,32.432432432432435
E01000607,17.974401780745687
E01000608,7.884615384615384
E01000609,
E01000610,28.57142857142857
E01000611,
E01000612,
E01000613,0.0
E01000615,44.27428571428572
E01000616,46.15384615384615
E01000617,
E01000618,
E01000619,4.12573673870334
E01000620,19.212962962962962
E01000621,16.48936170212766
E01000622,12.280701754385964
E01000623,41.3953488372093
E01000624,12.016293279022404
E01000625,14.50381679389313
E01000626,
E01000627,33.84615384615385
E01000628,
E01000629,104.64285714285715
E01000630,
E01000631,46.41203703703704
E01000632,
E01000633,
E01000634,2.4242424242424243
E01000635,47.293042780418546
E01000636,65.76206542467361
E01000637,5.291005291005291
E01000638,-1.1111111111111112
E01000639,51.77065767284992
E01000640,
E01000641,-13.436692506459949
E01000642,-2.7516019600452317
E01000643,-0.6535947712418301
E01000644,-2.964959568733154
E01000645,62.91007751937985
E01000646,5.795454545454545
E01000647,20.224719101123593
E01000648,20.603015075376884
E01000649,53.5
E01000650,-31.18421052631579
E01000651,8.59375
E01000652,22.018348623853214
E01000653,61.85185185185185
E01000654,22.109826589595375
E01000655,24.06015037593985
E01000656,24.708624708624708
E01000657,33.725820016820855
E01000658,18.435754189944134
E01000659,8.695652173913043
E01000661,36.36363636363637
E01000662,30.0
E01000663,17.77777777777778
E01000664,19.493392070484582
E01000665,22.045454545454547
E01000666,-0.034831069313827935
E01000667,-2.547065337763012
E01000668,-14.102564102564102
E01000669,22.171945701357465
E01000670,46.49122807017544
E01000671,50.68493150684932
E01000672,-1.2919896640826873
E01000673,35.13513513513514
E01000674,-4.761904761904762
E01000675,-0.3053435114503817
E01000676,20.967741935483872
E01000677,32.48407643312102
E01000678,50.898203592814376
E01000679,19.95637949836423
E01000680,14.94661921708185
E01000681,24.736842105263158
E01000682,14.572864321608039
E01000683,9.75609756097561
E01000684,17.595436594997807
E01000685,17.127659574468083
E01000686,13.445378151260504
E01000687,11.224489795918368
E01000688,11.851851851851853
E01000689,14.705882352941178
E01000690,21.50691463996185
E01000691,14.285714285714285
E01000692,23.0
E01000693,16.461780201497366
E01000694,42.30769230769231
E01000695,23.873873873873876
E01000696,-15.213675213675213
E01000697,-24.369747899159663
