Postcode,Avg asking rent (pm),Avg. household income
NN6 8,,"51,400"
NN6 9,,"51,200"
NN7 1,,"48,400"
NN7 2,,"51,200"
NN7 3,,"48,500"
NN7 4,"1,513","46,900"
NN8 1,991,"40,700"
NN8 2,,"40,100"
NN8 3,,"36,400"
NN8 4,,"41,000"
NN8 5,,"49,700"
NN9 5,,"40,800"
NN9 6,,"43,100"
NP10 8,,"43,700"
NP10 9,,"48,600"
NP11 3,,"37,800"
NP11 4,,"37,000"
NP11 5,,"35,700"
NP11 6,,"36,300"
NP11 7,,"36,600"
NP12 0,,"38,500"
NP12 1,,"39,400"
NP12 2,,"36,900"
NP12 3,,"34,500"
NP13 1,,"34,000"
NP13 2,,"31,600"
NP13 3,,"34,300"
NP15 1,,"46,500"
NP16 5,,"41,700"
NP16 6,,"50,200"
NP16 7,,"52,000"
NP18 1,,"44,400"
NP18 2,,"47,100"
NP18 3,,"44,500"
NP19 0,,"37,700"
NP19 4,,"36,900"
NP19 7,,"39,100"
NP19 8,,"37,900"
NP19 9,,"34,400"
NP20 2,,"35,200"
NP20 3,,"38,100"
NP20 4,965,"39,300"
NP20 5,,"40,800"
NP20 6,,"39,700"
NP20 7,,"33,800"
NP22 3,,"34,300"
NP22 4,,"34,500"
NP22 5,,"31,700"
NP23 4,,"34,200"
NP23 5,,"34,800"
NP23 6,,"35,200"
NP24 6,,"31,700"
NP25 3,,"38,700"
NP25 4,,"48,800"
NP25 5,,"39,800"
NP26 3,,"47,400"
NP26 4,,"39,200"
NP26 5,,"42,900"
NP4 0,,"42,400"
NP4 5,,"38,100"
NP4 6,,"34,100"
NP4 7,,"34,100"
NP4 8,,"34,300"
NP4 9,,"33,800"
