,GSS_CODE,WARD,Airbnb_price,Airbnb_availability_365,Reviews_per_month,Review_scores_value,Airbnb_count,Houseprice_median,Housesales_median,Population,Population_per_hectare,Population_per_square_kilometre
185,E05000211,Turkey Street,168.0,261.0,1.1,4.67,9,360000.0,107.0,15580.0,69.02968542,6902.968542
186,E05000212,Upper Edmonton,102.5,165.5,1.7149999999999999,4.885,16,355000.0,73.0,26842.0,101.2523576,10125.23576
187,E05000213,Winchmore Hill,97.0,106.0,0.66,4.93,14,561750.0,148.0,14753.0,53.51106275,5351.106275
188,E05000214,Abbey Wood,77.5,268.5,0.405,4.645,58,356000.0,101.0,16051.0,60.50131926,6050.131926
189,E05000215,Blackheath Westcombe,121.0,173.0,0.73,4.83,79,522500.0,169.0,13367.0,62.52104771,6252.104771
190,E05000216,Charlton,118.5,198.5,1.03,4.8149999999999995,46,511250.0,100.0,15142.0,74.44444444,7444.444444
191,E05000217,Coldharbour and New Eltham,57.5,258.5,0.675,4.93,12,404000.0,148.0,13679.0,53.66418203,5366.418203
192,E05000218,Eltham North,55.0,262.0,0.94,4.84,21,466500.0,176.0,12608.0,49.44313725,4944.313725
193,E05000219,Eltham South,110.0,138.0,0.56,4.82,17,375000.0,165.0,13069.0,28.24508321,2824.508321
194,E05000220,Eltham West,100.0,269.0,0.38,5.0,39,400000.0,136.0,18050.0,74.40230833,7440.230833
195,E05000221,Glyndon,104.0,228.0,0.68,4.73,59,317000.0,127.0,19933.0,116.9776995,11697.76995
196,E05000222,Greenwich West,110.0,158.0,1.0,4.795,116,500000.0,349.0,21797.0,77.92992492,7792.992492
197,E05000223,Kidbrooke with Hornfair,70.0,198.0,0.43,4.75,39,383500.0,128.0,14598.0,61.38772077,6138.772077
198,E05000224,Middle Park and Sutcliffe,90.0,258.0,0.89,4.74,23,380500.0,138.0,13446.0,40.94397077,4094.397077
199,E05000225,Peninsula,145.0,178.0,0.89,4.75,213,530000.0,669.0,29691.0,66.24497992,6624.497992
200,E05000226,Plumstead,39.0,144.0,0.39,4.67,51,338000.0,129.0,17898.0,76.12930668,7612.930668
201,E05000227,Shooters Hill,90.0,288.0,0.39,4.88,27,400500.0,132.0,12996.0,34.38095238,3438.095238
202,E05000228,Thamesmead Moorings,97.0,262.0,0.47,4.71,93,276500.0,122.0,22542.0,46.85512367,4685.512367
203,E05000229,Woolwich Common,81.0,214.0,0.48,4.73,67,370000.0,157.0,22304.0,85.12977099,8512.977099
204,E05000230,Woolwich Riverside,120.0,235.5,0.605,4.71,146,410000.0,359.0,29329.0,91.79655712,9179.655712
205,E05000250,Addison,135.0,186.0,0.85,4.67,149,616800.0,103.0,12071.0,218.2820976,21828.20976
206,E05000251,Askew,112.0,199.0,0.86,4.75,101,576000.0,136.0,15006.0,197.7075099,19770.75099
207,E05000252,Avonmore and Brook Green,145.0,155.0,1.07,4.77,127,610000.0,91.0,12114.0,135.3519553,13535.19553
208,E05000253,College Park and Old Oak,117.5,182.0,0.965,4.74,90,530000.0,40.0,16415.0,47.71802326,4771.802326
209,E05000254,Fulham Broadway,136.0,173.0,0.79,4.67,169,790375.0,220.0,12697.0,190.3598201,19035.98201
210,E05000255,Fulham Reach,136.0,166.0,0.68,4.69,107,930000.0,193.0,12802.0,145.1473923,14514.73923
211,E05000256,Hammersmith Broadway,142.0,151.0,0.78,4.67,159,824995.0,219.0,17704.0,160.3623188,16036.23188
212,E05000257,Munster,155.0,163.0,0.92,4.745,134,850000.0,139.0,11217.0,180.0481541,18004.81541
213,E05000258,North End,133.5,140.0,1.145,4.67,206,575000.0,89.0,13158.0,206.2382445,20623.82445
214,E05000259,Palace Riverside,155.0,205.5,0.41,4.78,62,1017500.0,72.0,7501.0,50.64821067,5064.821067
215,E05000260,Parsons Green and Walham,195.0,178.0,0.75,4.745,108,1082500.0,124.0,11501.0,128.0734967,12807.34967
216,E05000261,Ravenscourt Park,119.0,161.5,0.76,4.805,82,901250.0,138.0,10999.0,90.1557377,9015.57377
217,E05000262,Sands End,180.0,177.0,0.86,4.73,185,877475.0,184.0,15921.0,115.620915,11562.0915
218,E05000263,Shepherd's Bush Green,110.0,181.5,0.915,4.69,230,565000.0,81.0,17717.0,166.0449859,16604.49859
219,E05000264,Town,175.0,164.5,0.785,4.705,114,839250.0,116.0,11428.0,175.8153846,17581.53846
220,E05000265,Wormholt and White City,93.5,90.0,0.875,4.745,68,530000.0,71.0,13645.0,150.9402655,15094.02655
221,E05000266,Alexandra,135.0,166.0,0.55,4.83,41,936057.0,112.0,12452.0,47.6540375,4765.40375
222,E05000267,Bounds Green,69.5,161.5,0.835,4.835,50,500000.0,85.0,14824.0,107.1098266,10710.98266
223,E05000268,Bruce Grove,63.0,89.0,0.725,4.8149999999999995,50,498750.0,89.0,15348.0,164.8549946,16485.49946
224,E05000269,Crouch End,115.0,160.5,0.77,4.81,70,683000.0,132.0,13582.0,94.31944444,9431.944444
225,E05000270,Fortis Green,109.0,161.5,0.64,4.865,52,694500.0,134.0,13729.0,68.85155466,6885.155466
226,E05000271,Harringay,100.0,176.5,0.84,4.71,104,625000.0,107.0,15173.0,97.13828425,9713.828425
227,E05000272,Highgate,110.0,173.0,0.62,4.75,63,762498.0,150.0,12865.0,51.48059224,5148.059224
228,E05000273,Hornsey,105.0,143.0,1.08,4.83,45,530000.0,149.0,13961.0,132.3317536,13233.17536
229,E05000274,Muswell Hill,115.0,151.0,0.84,4.89,45,884206.0,161.0,12715.0,76.96731235,7696.731235
230,E05000275,Noel Park,91.0,168.0,0.82,4.75,81,450000.0,61.0,19468.0,158.2764228,15827.64228
