LSOA11CD,average_price,airbnb_density,Price_Change,People per Sq Km,Income Score (rate),hotel_density,tourist_attraction_density,AvPTAI2015
E01000828,0.0,0.0,12.17948717948718,5227.07295634339,0.07,0.0,0.0,8.37147
E01000829,206.25,18.053122635682264,14.773869346733669,8479.13862718708,0.049,0.0,0.0,19.1676
E01000830,69.0,6.765602902430802,1.020408163265306,2600.26963262555,0.01,0.0,0.0,3.17597
E01000831,184.0,7.375724756318922,14.285714285714285,4357.89992605373,0.068,0.0,0.0,5.77025
E01000832,0.0,0.0,53.24074074074075,1689.78270920019,0.034,0.0,0.0,5.32819
E01000833,42.0,5.538912856643094,17.24137931034483,3898.02173307328,0.02,0.0,0.0,2.81427
E01000834,0.0,0.0,31.05924596050269,6331.2766967252,0.035,0.0,0.0,3.68791
E01000835,41.66666666666666,11.946294320357971,37.80487804878049,5190.97744360902,0.069,0.0,0.0,7.63649
E01000836,50.0,4.710988405523689,19.11111111111111,6596.2441314554,0.031,0.0,0.0,4.10367
E01000837,83.0,6.186772465087436,7.361963190184049,3213.61453330549,0.062,0.0,0.0,5.18839
E01000838,360.0,1.836298500954676,26.168224299065415,2664.81481481481,0.021,0.0,0.0,4.17723
E01000839,0.0,3.730145234483168,33.09828118113706,5080.0,0.014,0.0,0.0,1.55032
E01000840,0.0,0.0,21.2,1837.45139846984,0.054,0.0,0.0,3.12167
E01000841,0.0,0.0,8.089512195121952,4919.4729136164,0.035,0.0,0.0,4.0552
E01000842,241.27777777777777,260.3698448210301,11.117284293571863,17756.6539923954,0.052,0.0,0.0,12.1622
E01000843,237.6315789473684,307.588586737164,61.5819209039548,23889.5558223289,0.124,0.0,0.0,13.1695
E01000844,780.0,339.88023920372615,-29.577464788732392,19043.0201931519,0.051,0.0,8.711532861194483,17.3376
E01000845,190.20833333333331,278.6575906277625,-25.2,16423.7288135593,0.078,0.0,0.0,11.618
E01000846,175.7058823529412,280.27262490353166,19.230769230769237,20906.892382104,0.172,0.0,0.0,10.2054
E01000847,219.54545454545453,172.0148119390918,111.37254901960785,20649.7461928934,0.153,10.11851834935834,0.0,17.3803
E01000848,293.9,260.71966511165715,-6.779661016949152,21782.1782178218,0.044,10.027679427371428,0.0,13.2437
E01000849,122.0,480.9823300477899,0.2702702702702703,25315.3153153153,0.042,0.0,0.0,17.436
E01000850,255.70526315789476,674.6694698533338,-36.25461254612546,12380.9523809524,0.062,61.33358816848489,0.0,62.6618
E01000851,206.62222222222223,1667.154659691111,,19917.6029962547,0.043,7.376790529606686,7.374055063023052,55.0582
E01000852,218.66666666666663,281.5029861964918,-11.940298507462686,17263.2423756019,0.067,24.128827388270725,0.0,83.1544
E01000853,159.3653846153846,1385.780681806906,,30477.8156996587,0.226,102.65042087458562,0.0,73.1792
E01000854,219.9090909090909,498.2748433542234,12.7373417721519,11192.3688394277,0.12,10.489996702194176,0.0,67.7297
E01000855,234.80357142857144,264.18780143877586,-12.352941176470589,5482.0592823713,0.048,68.37801919591845,3.106952330923255,63.19
E01000856,256.8536585365854,575.4114968278178,,16596.4616680708,0.209,0.0,0.0,42.4264
E01000857,164.54545454545453,304.3225697262254,-19.35483870967742,20985.2216748768,0.134,0.0,0.0,12.1124
E01000858,228.91071428571428,388.0182809921626,43.01844185171246,10027.5355667737,0.261,0.0,13.689650877075122,25.9939
E01000859,394.0,230.9895456181021,-18.0327868852459,19648.3971044467,0.05,0.0,0.0,11.7204
E01000860,540.4705882352941,162.20141948029823,-58.333333333333336,7338.51384167071,0.164,0.0,0.0,7.15373
E01000861,135.55555555555554,826.2525094586733,-4.62046204620462,14973.6842105263,0.177,0.0,0.0,41.5854
E01000862,262.3513513513513,353.6860653519841,7.848101265822785,11723.5294117647,0.046,5.894767755866401,0.0,21.9385
E01000863,171.18367346938774,728.8537739428383,-12.195121951219512,12410.1610904585,0.158,0.0,0.0,43.6587
E01000864,124.75,422.3838575857236,-5.0,19825.8196721312,0.11,0.0,0.0,7.84971
E01000865,127.6,295.1535871571229,,18160.0735970561,0.061,0.0,0.0,17.2052
E01000866,167.58333333333334,345.8380983895584,39.63963963963964,20075.6013745704,0.151,0.0,0.0,24.6208
E01000867,200.4516129032258,1079.4388370736986,43.47826086956522,26205.1915945612,0.22,0.0,0.0,35.5049
E01000868,165.44,445.5074309961736,20.0,23381.1230585424,0.249,0.0,0.0,5.92594
E01000869,112.05555555555556,411.85346264464414,40.0,21475.9825327511,0.162,0.0,0.0,14.1162
E01000870,147.25,266.2288233404668,-22.22222222222222,15295.9747434886,0.186,0.0,0.0,22.4492
E01000871,117.5,59.49890881902329,6.129032258064516,7078.02807704865,0.107,0.0,0.0,9.91706
E01000872,108.47058823529412,171.61540568673303,11.11111111111111,15881.5520762423,0.156,0.0,0.0,19.5099
E01000873,134.9,112.71544571865115,-8.96551724137931,16426.2295081967,0.073,0.0,0.0,10.2418
E01000874,125.71428571428572,151.3339379751875,-1.1440305074801993,23411.214953271,0.035,0.0,0.0,23.6788
E01000875,493.6875,346.16290442864084,-13.901345291479824,16931.6239316239,0.158,0.0,0.0,19.1387
E01000876,175.66666666666666,178.83357474182748,-19.06614785992218,20008.5616438356,0.224,0.0,0.0,15.0746
E01000877,160.9375,213.5506141971916,-46.73076923076923,18099.5475113122,0.083,0.0,0.0,18.0408
E01000878,165.95238095238096,149.51062235506078,-2.2872340425531914,14034.3571056741,0.047,0.0,0.0,14.2155
E01000879,260.1,150.15534529203305,-21.48148148148148,10000.0,0.037,0.0,0.0,18.5891
E01000880,263.0625,158.72125587539256,1.96078431372549,10235.6406480118,0.035,0.0,0.0,20.6078
E01000881,150.9,210.73418550342495,-38.61271676300578,15169.1474966171,0.094,6.797876951723387,0.0,26.9112
E01000882,177.69230769230768,291.2223349501059,-41.935483870967744,17046.7596390484,0.018,8.320638141431598,0.0,21.9953
E01000883,221.59459459459455,343.311145046499,8.857938718662952,14227.7580071174,0.05,7.152315521802063,0.0,31.3927
E01000884,227.77777777777777,56.92395815415625,36.65008291873964,7920.06525285481,0.036,0.0,0.0,5.72284
E01000885,499.4285714285714,25.776571680183043,23.5207100591716,6072.95432139336,0.037,0.0,0.0,5.68296
E01000886,131.875,180.36314512530268,21.511627906976745,17458.777885548,0.075,0.0,0.0,12.5612
